년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-01,China,392814,28.73786981,35.55511707,147511,231722,320113,2993,138,8793,60777,36520,108591,103657,48574,40893,40998
19-01,Japan,206526,23.60683014,18.69346843,75070,129029,198805,2233,127,785,4576,18015,57921,34165,39811,33857,20330
19-01,Taiwan,87954,16.00369296,7.961057311,30805,56202,86393,74,22,180,1285,18888,17927,18595,18862,8169,4566
19-01,Hong Kong,35896,3.533212195,3.249086036,12172,22729,34653,59,2,90,1092,3890,11384,7400,5461,4629,2137
19-01,Macao,2570,-12.37640641,0.232620657,748,1787,2506,2,0,17,45,223,1013,762,264,181,92
19-01,Phillipines,30473,0.062389177,2.758229295,10460,7295,14279,211,161,184,15638,1436,5051,5486,3140,1831,811
19-01,Indonesia,18842,10.61406599,1.705462422,7295,8289,14183,136,38,187,4298,2732,4213,3643,2895,1488,613
19-01,Thailand,41334,-8.026078636,3.741300485,12205,23730,34004,37,199,96,6998,3310,10977,10551,5821,3403,1873
19-01,Vietnam,20183,23.93613755,1.826841527,7457,7559,10739,763,110,1667,6904,1824,5484,4200,1963,1095,450
19-01,India,8671,16.84409109,0.784845805,5123,907,2318,2656,46,177,3474,258,1421,2310,1322,522,197
19-01,Malaysia,22065,-0.217066884,1.997188639,8240,11276,19043,95,7,99,2821,2923,6643,4546,2689,1946,769
19-01,Singapore,9855,1.976407285,0.892014232,4175,4450,8372,94,8,48,1333,670,2276,2044,1771,1342,522
19-01,Mongolia,9785,-9.339386639,0.885678261,4624,5114,8358,77,304,484,562,1551,1807,2840,2105,970,465
19-01,Uzbekistan,5754,5.947339348,0.520816833,3863,1426,1958,561,0,407,2828,233,1614,1896,949,394,203
19-01,Myanmar,5289,-11.67334669,0.478727882,2290,250,1304,10,31,67,3877,27,1070,994,324,108,17
19-01,*GCC,1776,-1.606648199,0.160752641,1132,612,1550,37,14,72,103,247,477,521,289,140,70
19-01,Kazakhstan,3574,-9.33536276,0.323496587,1521,1748,2185,24,7,92,1266,343,928,857,479,402,260
19-01,Turkey,1785,-7.704239917,0.161567266,681,234,792,13,32,36,912,57,239,300,206,89,24
19-01,Cambodia,2695,10.85972851,0.243934892,1666,730,635,39,55,51,1915,124,1392,685,109,58,28
19-01,Sri Lanka,1287,-14.2,0.116491356,1036,90,157,54,5,28,1043,13,373,550,151,31,8
19-01,Bangladesh,1247,1.299756296,0.112870801,897,57,149,126,27,97,848,26,342,403,123,48,12
19-01,Pakistan,1032,-10.7266436,0.093410318,857,142,238,178,10,193,413,62,328,378,147,67,17
19-01,Israel,805,-0.494437577,0.072863669,591,199,727,12,0,9,57,19,80,170,223,120,178
19-01,Iran,184,-66.78700361,0.016654553,122,47,60,45,10,23,46,9,30,73,39,12,6
19-01,Asia others,4554,16.67947733,0.412200184,2990,1028,1561,308,70,205,2410,247,1605,1349,500,209,108
19-01,USA,62737,4.744970365,5.678568939,32907,24623,42989,418,2578,229,16523,5601,10672,10618,10137,11530,8972
19-01,Canada,12460,0.346299428,1.127802875,5783,5418,8034,57,30,43,4296,959,2190,2299,1847,2184,1722
19-01,Brazil,1605,14.07249467,0.145274768,727,592,1136,16,9,41,403,215,389,357,213,92,53
19-01,Mexico,1853,32.07412687,0.167722209,784,611,1282,11,7,38,515,153,388,353,239,174,88
19-01,America others,2266,10.86105675,0.205104439,933,936,1541,24,33,128,540,195,666,491,248,159,110
19-01,Russia,25194,14.86277013,2.280406552,10572,9487,17260,181,37,191,7525,2569,4480,5325,3866,2520,1299
19-01,UK,10148,7.968932865,0.918534798,5903,3490,7982,175,17,41,1933,923,1669,1801,1682,1695,1623
19-01,Germany,6850,-6.522925764,0.62002004,4487,1454,4925,278,19,177,1451,357,1074,1414,1217,1377,502
19-01,France,5574,-5.381089798,0.504524336,3390,1591,3773,297,48,288,1168,437,1316,1151,1135,704,238
19-01,Italy,2731,-1.08656284,0.247193391,1750,502,1968,83,17,40,623,79,369,581,651,417,155
19-01,Netherland,2269,-2.576212967,0.205375981,1335,489,1592,47,16,77,537,108,472,319,398,394,133
19-01,Ukraine,2262,38.85819521,0.204742384,594,244,593,58,3,28,1580,36,275,243,132,118,34
19-01,Spain,1368,-16.17647059,0.12382298,841,373,1010,36,15,52,255,61,312,348,281,154,58
19-01,Romania,872,19.12568306,0.078928098,315,129,412,8,4,3,445,57,92,128,89,65,13
19-01,Norway,801,-19.33534743,0.072501613,511,177,552,66,4,28,151,41,168,139,139,144,57
19-01,Sweden,982,4.246284501,0.088884625,664,280,844,29,6,18,85,69,217,187,206,196,69
19-01,Poland,1324,-11.96808511,0.11984037,559,242,713,10,0,27,574,35,214,284,168,61,39
19-01,Swiss,747,-29.32828761,0.067613864,493,207,613,18,0,19,97,41,166,120,128,164,81
19-01,Portugal,564,-4.72972973,0.051049825,256,211,416,14,0,13,121,27,142,119,88,73,18
19-01,Austria,776,-2.389937107,0.070238767,480,169,544,8,2,13,209,33,151,144,129,114,78
19-01,Finland,859,-13.84152457,0.077751418,314,155,412,23,1,18,405,20,127,116,100,82,24
19-01,Belgium,709,-6.092715232,0.064174337,460,145,490,24,4,22,169,28,134,142,133,129,39
19-01,Croatia,491,-0.405679513,0.044442312,224,29,226,12,0,3,250,6,57,74,58,46,12
19-01,Greece,775,8.848314607,0.070148253,475,44,481,17,4,0,273,7,95,164,130,72,51
19-01,Bulgaria,431,17.75956284,0.03901148,140,39,154,1,1,10,265,3,38,49,46,28,15
19-01,Denmark,751,7.439198856,0.06797592,478,153,520,21,6,16,188,56,130,101,168,124,52
19-01,Ireland,595,0.506756757,0.053855755,379,163,392,15,1,2,185,23,140,151,105,77,46
19-01,Europe others,2965,23.23358271,0.268373638,1282,827,1809,44,25,91,996,187,533,556,428,261,144
19-01,Austrailia,14285,22.21937029,1.292990696,7126,6863,12795,93,17,34,1346,3194,3154,2068,2471,1937,1165
19-01,New Zealand,2725,2.482136141,0.246650308,1376,1188,2029,20,17,5,654,438,611,484,350,442,239
19-01,Oceania others,614,11.23188406,0.055575519,356,216,555,3,4,0,52,68,124,199,106,48,27
19-01,South Africa,1000,10.74197121,0.090513874,390,453,368,9,1,6,616,36,371,236,94,59,47
19-01,Africa others,2690,19.82182628,0.243482322,1596,413,768,718,90,206,908,68,630,671,403,186,51
19-01,Stateless,54,-18.18181818,0.004887749,32,9,33,4,0,1,16,1,10,10,14,4,2
19-01,Overseas Korean,15526,-19.11856637,1.405318414,6475,9051,0,0,0,0,15526,439,1163,1618,3202,4785,4319
19-02,China,453379,31.2844406,37.72493306,191410,251668,324291,2694,143,38731,87520,33333,136272,122438,64289,51696,35050
19-02,Japan,213200,26.72297478,17.74002706,70961,139997,204697,2125,119,2084,4175,26804,75150,29004,33255,29288,17457
19-02,Taiwan,94559,7.360688496,7.868101401,34304,59456,92276,105,20,908,1250,15862,22177,20705,17971,11158,5887
19-02,Hong Kong,51312,1.427159518,4.269588501,20802,29584,49695,54,3,489,1071,9786,8163,9141,11687,7666,3943
19-02,Macao,3966,-17.95614398,0.330004443,1478,2451,3890,1,0,33,42,830,954,848,637,374,286
19-02,Phillipines,29294,8.444082479,2.437506345,9935,7822,15541,171,57,189,13336,1180,4784,5551,3271,1991,980
19-02,Indonesia,18115,22.90521745,1.507319841,7122,7306,12172,147,72,697,5027,1685,4133,3733,2652,1612,613
19-02,Thailand,39220,-9.689601179,3.263432745,12303,22029,32074,56,180,332,6578,2211,10257,11089,5719,3213,1843
19-02,Vietnam,42181,72.11114738,3.509812764,20381,17114,20071,806,98,9324,11882,6076,14050,9178,4455,2580,1156
19-02,India,8309,17.14366277,0.691378447,5147,987,2372,2303,102,360,3172,238,1610,2346,1284,479,177
19-02,Malaysia,27484,21.99387456,2.286899173,11044,14156,24047,136,2,604,2695,4445,7261,5212,3630,3141,1511
19-02,Singapore,9792,7.687231937,0.814776477,4192,4527,8228,114,6,257,1187,735,2124,1987,1749,1386,738
19-02,Mongolia,9176,3.089540501,0.763520114,4669,4465,6670,109,314,1152,931,952,1934,2819,2055,990,384
19-02,Uzbekistan,7149,28.00358102,0.594856723,5008,1698,2165,716,5,1217,3046,417,2255,2217,1145,441,231
19-02,Myanmar,5367,1.168708765,0.446579387,2586,395,1107,13,25,231,3991,68,1399,1074,319,94,27
19-02,*GCC,1478,16.10369207,0.122981989,994,452,1143,27,9,192,107,162,432,456,198,134,64
19-02,Kazakhstan,3774,-19.47941114,0.314028434,1646,1848,1924,21,3,404,1422,455,1027,896,555,330,231
19-02,Turkey,1765,-6.9092827,0.146862794,604,299,664,13,29,151,908,40,314,259,171,71,48
19-02,Cambodia,3715,43.88071263,0.309119139,2261,1182,1473,53,92,147,1950,255,1543,1094,223,170,158
19-02,Sri Lanka,1516,31.4830876,0.126143907,1240,121,241,52,0,48,1175,9,469,661,148,60,14
19-02,Bangladesh,1656,33.33333333,0.137793081,1198,163,228,83,38,265,1042,61,529,568,142,45,16
19-02,Pakistan,1439,10.60722521,0.119736862,1217,197,257,290,11,463,418,89,568,474,196,69,18
19-02,Israel,761,6.732117812,0.063321579,542,213,694,15,1,14,37,25,78,132,177,116,227
19-02,Iran,329,-39.85374771,0.027375558,191,90,99,67,5,64,94,11,65,118,53,28,6
19-02,Asia others,5150,12.9881527,0.428523168,3443,1229,1635,383,157,537,2438,288,1785,1593,606,282,118
19-02,USA,57732,-12.59216642,4.803786314,29846,23407,38475,386,1970,1144,15757,4516,9527,9919,9187,10502,9602
19-02,Canada,13551,-17.56296386,1.127556786,6405,6008,8888,45,27,116,4475,1080,2490,2457,1811,2370,2205
19-02,Brazil,1354,-12.75773196,0.112664149,647,463,881,12,13,101,347,114,392,292,182,86,44
19-02,Mexico,1435,2.426837973,0.119404028,590,473,818,1,7,207,402,51,408,290,149,105,60
19-02,America others,2308,-2.120441052,0.192044946,964,1003,1578,19,24,257,430,178,759,472,256,183,119
19-02,Russia,20001,-4.251041218,1.66425085,8297,7364,12512,139,24,391,6935,1329,4123,4137,2972,1994,1106
19-02,UK,7876,-23.78556222,0.655349217,4640,2596,5864,150,8,105,1749,353,1736,1474,1248,1284,1141
19-02,Germany,6866,-28.30740315,0.571308751,4394,1708,4878,258,15,525,1190,288,1514,1306,1210,1213,571
19-02,France,5830,-19.88456782,0.485104868,3329,1940,3685,235,30,958,922,527,1793,1049,939,671,290
19-02,Italy,2384,-25.5,0.198368783,1487,487,1685,52,14,125,508,58,389,494,519,387,127
19-02,Netherland,2357,-39.78027593,0.196122157,1297,584,1580,33,7,180,557,120,420,340,328,349,324
19-02,Ukraine,2080,4.838709677,0.173073435,650,264,543,51,2,57,1427,49,355,242,150,101,17
19-02,Spain,1373,-9.193121693,0.114245109,792,447,1006,17,5,129,216,38,374,316,301,130,80
19-02,Romania,771,20.28081123,0.064153663,265,116,334,4,4,30,399,5,102,121,83,49,21
19-02,Norway,577,-67.29024943,0.048011236,407,154,455,38,3,45,36,43,174,101,73,109,61
19-02,Sweden,927,-51.23619148,0.07713417,580,302,729,19,9,91,79,64,249,157,178,164,70
19-02,Poland,1266,-24.7771836,0.105341812,486,262,619,14,0,74,559,33,269,222,132,69,23
19-02,Swiss,877,-63.44310129,0.072973751,538,285,710,17,0,67,83,50,239,144,146,163,81
19-02,Portugal,670,-14.54081633,0.055749616,269,318,545,5,0,19,101,67,130,131,110,90,59
19-02,Austria,746,-56.52680653,0.062073453,446,206,561,9,7,36,133,22,188,144,120,117,61
19-02,Finland,933,-51.75801448,0.07763342,351,215,398,10,1,139,385,34,212,101,101,86,32
19-02,Belgium,654,-19.65601966,0.054418282,400,156,452,16,2,41,143,20,149,102,116,110,59
19-02,Croatia,447,-6.680584551,0.037194147,193,26,192,7,1,11,236,5,48,55,61,41,9
19-02,Greece,607,-19.28191489,0.050507488,390,52,381,27,0,5,194,14,80,144,95,67,42
19-02,Bulgaria,326,-12.8342246,0.027125933,126,47,146,0,1,15,164,5,40,42,43,28,15
19-02,Denmark,694,-13.46633416,0.057746617,423,172,469,12,5,77,131,42,177,102,112,114,48
19-02,Ireland,613,-9.453471196,0.051006738,384,180,389,7,0,14,203,31,158,160,103,71,41
19-02,Europe others,2674,-44.25682718,0.222499214,1177,784,1579,24,15,245,811,156,626,458,352,209,160
19-02,Austrailia,8331,-4.994868286,0.693209031,4504,3512,6836,73,31,119,1272,896,1952,1535,1498,1234,901
19-02,New Zealand,1863,-7.451564829,0.155017216,994,734,1221,14,5,11,612,179,382,397,259,311,200
19-02,Oceania others,428,11.16883117,0.035613188,229,112,325,0,5,2,96,12,94,97,65,41,32
19-02,South Africa,1191,8.767123288,0.099101183,471,594,374,6,5,8,798,27,567,261,105,67,38
19-02,Africa others,3476,15.75091575,0.289232336,2195,657,1142,806,58,520,950,125,850,864,591,324,98
19-02,Stateless,39,-26.41509434,0.003245127,24,9,24,1,0,3,11,2,7,8,5,6,5
19-02,Overseas Korean,14459,-14.2763977,1.203109996,6163,8296,0,0,0,0,14459,384,1166,1447,2776,4571,4115
19-03,China,487623,20.87438927,31.75371067,189613,285340,369165,3933,414,32532,81579,14459,137271,133971,64975,63774,60503
19-03,Japan,375119,27.38525381,24.42751919,106174,266368,367157,2108,126,1231,4497,81364,112727,42342,59631,47010,29468
19-03,Taiwan,98510,4.70430679,6.414910777,29719,67812,96643,64,12,460,1331,7613,24934,25101,17349,13044,9490
19-03,Hong Kong,46068,-26.10202117,2.999919903,14116,31027,44679,61,5,265,1058,1597,10351,10333,8226,8773,5863
19-03,Macao,3049,-31.23590438,0.19854901,819,2205,2974,2,0,41,32,60,976,905,440,413,230
19-03,Phillipines,38701,-6.013065546,2.520185382,11556,11860,21542,166,119,108,16766,1989,6297,6541,4162,2664,1763
19-03,Indonesia,25626,26.84882685,1.668749402,9800,11420,18857,242,135,277,6115,2083,5810,5720,3888,2456,1263
19-03,Thailand,53100,-4.727729434,3.45783943,16052,31433,45605,66,397,136,6896,5577,12550,13698,8230,4641,2789
19-03,Vietnam,46991,24.79020608,3.060025097,20744,21018,32117,1047,186,5394,8247,4480,11937,10998,6360,5388,2599
19-03,India,10646,13.70287301,0.69326099,6103,1363,3051,3283,52,197,4063,342,1735,2756,1563,681,389
19-03,Malaysia,40789,7.779098956,2.656154661,14376,23942,37653,107,7,286,2736,5697,10012,8560,5923,5211,2915
19-03,Singapore,22105,-0.347128302,1.439464041,8476,12376,20524,161,7,49,1364,3822,4375,3731,3731,3201,1992
19-03,Mongolia,8724,-18.19204801,0.568101529,4335,4344,6691,119,383,967,564,816,1776,2643,2120,997,327
19-03,Uzbekistan,8405,11.85786532,0.547328445,6112,1814,3150,896,0,863,3496,451,2414,2742,1398,587,334
19-03,Myanmar,7021,15.24950755,0.457203214,3306,636,2026,17,52,102,4824,118,1687,1376,469,221,71
19-03,*GCC,3021,1.375838926,0.196725667,1658,1326,2758,22,19,135,87,633,775,773,405,278,120
19-03,Kazakhstan,4915,-10.2283105,0.320061785,2078,2532,3202,11,3,178,1521,561,1241,1093,806,577,332
19-03,Turkey,2532,2.75974026,0.164882287,1092,456,1369,15,73,38,1037,54,385,545,316,147,101
19-03,Cambodia,2501,8.362218371,0.162863586,1727,691,752,43,107,38,1561,109,1260,752,133,88,76
19-03,Sri Lanka,1494,0.201207243,0.097288364,1179,94,177,53,11,28,1225,26,539,523,118,49,18
19-03,Bangladesh,1704,14.20911528,0.110963435,1353,120,206,148,107,230,1013,62,624,493,186,85,23
19-03,Pakistan,1282,-11.7687543,0.083483054,1085,143,285,233,14,256,494,61,470,413,184,85,15
19-03,Israel,1613,6.609385327,0.105037571,1037,566,1549,11,1,1,51,31,159,224,296,290,603
19-03,Iran,382,-50.1305483,0.024875606,228,131,195,95,8,30,54,30,60,134,76,31,28
19-03,Asia others,6719,8.039877794,0.437537159,4533,1741,2759,547,241,402,2770,470,2435,1957,789,439,184
19-03,USA,84275,5.239825672,5.487936308,43129,35984,65448,400,2221,190,16016,7736,12709,14323,13477,15237,15631
19-03,Canada,18670,-0.865502044,1.215778948,8627,8840,14313,42,38,37,4240,2092,2557,3293,2901,3094,3530
19-03,Brazil,1673,4.693366708,0.108944734,754,629,1250,19,15,21,368,116,347,426,235,139,120
19-03,Mexico,2201,-3.633975482,0.14332777,1014,724,1663,7,1,18,512,90,437,528,283,228,172
19-03,America others,3208,13.19689485,0.208902992,1458,1102,2299,22,27,79,781,134,776,789,404,264,193
19-03,Russia,27992,8.778611122,1.82282187,12054,11568,20692,141,13,182,6964,2909,5430,6403,4511,2850,1519
19-03,UK,12813,4.536183405,0.834374701,7278,4663,11064,126,13,50,1560,415,1983,2151,1966,2182,3244
19-03,Germany,11142,-0.863066109,0.725560206,6960,3347,9496,219,29,106,1292,468,2076,2139,1853,2064,1707
19-03,France,7469,5.167558434,0.486376699,4327,2542,5824,274,60,245,1066,436,1776,1610,1484,978,585
19-03,Italy,3583,1.071932299,0.233322762,2364,775,2931,64,10,33,545,81,528,844,874,583,229
19-03,Netherland,2898,8.783783784,0.188715982,1688,737,2219,47,12,20,600,92,463,495,463,513,399
19-03,Ukraine,2368,4.732419284,0.154202708,688,316,630,95,6,17,1620,58,318,298,176,114,40
19-03,Spain,2007,-11.50793651,0.130694609,1247,610,1675,21,10,36,265,44,443,562,490,206,112
19-03,Romania,1044,7.628865979,0.06798464,355,164,494,5,3,2,540,29,100,177,106,79,28
19-03,Norway,858,-39.0625,0.055872434,546,272,723,37,1,24,73,92,199,146,143,162,76
19-03,Sweden,1458,-14.03301887,0.094944066,868,540,1261,30,9,47,111,85,332,264,307,266,154
19-03,Poland,1960,12.06403659,0.127633998,839,499,1264,8,1,21,666,38,351,477,245,129,98
19-03,Swiss,1224,-18.34556371,0.079706129,760,415,1054,13,1,21,135,49,215,226,209,239,237
19-03,Portugal,824,-16.08961303,0.053658375,394,333,686,2,0,8,128,18,153,203,163,125,65
19-03,Austria,911,-15.09785648,0.059323761,597,205,740,9,0,5,157,20,150,212,161,163,96
19-03,Finland,1082,-9.304274937,0.070459176,444,252,641,17,3,15,406,39,161,138,171,144,43
19-03,Belgium,1400,31.45539906,0.091167141,902,393,1161,16,20,9,194,34,189,275,266,312,219
19-03,Croatia,489,-25.57077626,0.03184338,192,51,211,11,1,3,263,4,53,76,56,39,15
19-03,Greece,803,-10.6785317,0.052290867,449,95,509,13,10,1,270,16,91,163,113,117,44
19-03,Bulgaria,455,-7.894736842,0.029629321,158,71,212,3,1,3,236,16,44,66,56,32,15
19-03,Denmark,1001,-13.78122308,0.065184506,609,269,813,11,5,10,162,64,198,153,181,166,116
19-03,Ireland,724,-3.466666667,0.047146436,457,209,587,7,2,5,123,21,150,153,132,115,95
19-03,Europe others,3300,2.262163,0.214893976,1469,863,2105,31,18,67,1079,107,580,647,532,272,194
19-03,Austrailia,12263,14.68250257,0.798559038,6337,5602,10769,99,31,13,1351,974,1504,2078,2083,2040,3260
19-03,New Zealand,2451,3.855932203,0.159607617,1304,1005,1800,24,4,2,621,188,363,499,366,482,411
19-03,Oceania others,430,13.75661376,0.028001336,228,119,331,2,6,2,89,20,79,99,79,48,22
19-03,South Africa,945,19.01763224,0.06153782,387,385,488,5,2,6,444,30,276,192,110,93,71
19-03,Africa others,3798,16.28903858,0.24732343,2136,642,1267,831,87,259,1354,136,729,924,595,294,100
19-03,Stateless,57,3.636363636,0.003711805,32,11,38,2,0,0,17,0,8,10,9,9,7
19-03,Overseas Korean,19225,-18.8681634,1.251920208,7845,11380,0,0,0,0,19225,918,1336,1901,4011,5402,5657
19-04,China,493250,34.54572236,30.16697797,180816,298870,410542,3575,362,9959,68812,16492,134102,139617,65302,62969,61204
19-04,Japan,290092,35.65018962,17.74191378,106567,180586,283101,1584,126,333,4948,28550,73721,49370,53623,45116,36773
19-04,Taiwan,113072,7.506393983,6.915439499,35445,76609,111505,73,13,147,1334,9518,23691,28047,20239,16531,14028
19-04,Hong Kong,76104,14.38534261,4.654491011,25868,49445,75074,47,2,90,891,12113,12084,14315,15750,12675,8376
19-04,Macao,4310,4.535532379,0.263597922,1226,3084,4292,1,1,3,13,375,1188,1196,575,558,418
19-04,Phillipines,66525,35.6186166,4.068643101,19859,26419,43794,228,167,45,22291,7525,9875,10284,8410,5904,4280
19-04,Indonesia,31427,12.58911618,1.922063085,10870,13853,22596,225,207,54,8345,2137,6622,6488,4424,3222,1830
19-04,Thailand,69726,7.734857849,4.264415014,20811,43277,61999,53,401,55,7218,7710,17390,17251,10301,7013,4423
19-04,Vietnam,63169,24.52737201,3.863391447,26558,31306,51939,1271,283,1284,8392,4636,14925,16384,9377,7854,4688
19-04,India,12933,21.53932901,0.790977245,6192,1777,4088,3039,53,75,5678,490,1707,2829,1641,821,481
19-04,Malaysia,43726,4.770576255,2.674265137,14850,26443,40894,120,4,27,2681,3801,10929,9100,6077,6478,4908
19-04,Singapore,23307,10.30288689,1.425447046,8532,13509,21814,116,1,19,1357,1914,5364,4648,3715,3616,2784
19-04,Mongolia,7582,-0.328644669,0.463712168,3670,3872,6389,83,299,248,563,762,1292,2457,1881,858,292
19-04,Uzbekistan,7378,3.289934201,0.451235608,5078,1742,3270,651,4,109,3344,197,1837,2480,1366,564,376
19-04,Myanmar,7272,-1.195652174,0.444752689,3026,1204,2716,13,62,17,4464,285,1557,1245,578,369,196
19-04,*GCC,3265,32.34698014,0.199686129,1812,1423,3115,24,17,34,75,516,864,914,470,334,137
19-04,Kazakhstan,4618,-3.731498853,0.282435082,2026,2280,3129,20,11,17,1441,391,1191,1151,689,520,364
19-04,Turkey,2826,-15.10964254,0.17283706,1190,709,1687,12,142,13,972,71,395,522,385,283,243
19-04,Cambodia,5325,34.81012658,0.325674927,3666,1659,2028,63,112,18,3104,500,2730,1226,341,268,260
19-04,Sri Lanka,1478,5.571428571,0.090393905,1118,126,313,72,6,8,1079,63,464,474,146,73,24
19-04,Bangladesh,1318,7.767784137,0.080608367,948,103,275,137,125,49,732,35,336,402,155,99,24
19-04,Pakistan,1218,7.597173145,0.074492406,1010,117,361,315,36,66,440,46,300,399,241,111,30
19-04,Israel,2221,17.95007966,0.135835495,1172,1039,2161,11,0,2,47,143,215,269,287,310,987
19-04,Iran,298,-54.50381679,0.018225564,207,74,148,79,5,12,54,9,39,114,66,43,10
19-04,Asia others,6762,11.62099703,0.413561287,4302,1845,3247,484,200,64,2767,417,2249,1806,884,542,249
19-04,USA,102524,14.9256241,6.270327926,50350,46617,83521,352,3763,113,14775,10481,13435,16627,15013,17478,23933
19-04,Canada,21361,15.03581238,1.306430444,9754,10266,17275,44,43,15,3984,1760,4313,3657,2745,3479,4066
19-04,Brazil,2212,22.68441486,0.135285059,975,893,1752,15,16,5,424,108,389,525,296,228,322
19-04,Mexico,3298,39.98302207,0.201704396,1358,1419,2722,7,7,15,547,328,632,720,456,331,310
19-04,America others,4422,25.34013605,0.270447798,1934,1568,3292,34,44,19,1033,155,898,1007,566,441,435
19-04,Russia,34205,9.235780666,2.091964483,13954,13781,25342,166,25,41,8631,2794,6918,7501,5078,3591,1853
19-04,UK,16707,25.02432089,1.021793616,8976,6664,14760,141,19,18,1769,1333,2814,3063,2227,2545,3658
19-04,Germany,12873,17.84145002,0.787307668,7417,4181,10819,212,28,84,1730,1172,2083,2532,2003,2218,1590
19-04,France,11616,14.17338313,0.710430038,6212,4671,10034,224,40,164,1154,1349,2707,2356,1914,1449,1108
19-04,Italy,4381,5.642633229,0.267940254,2395,1040,3238,46,18,12,1067,202,586,892,876,598,281
19-04,Netherland,4089,23.83403998,0.250081648,2322,1317,3452,48,8,12,569,378,736,665,640,722,498
19-04,Ukraine,2574,13.84343211,0.157424838,755,341,799,76,7,8,1684,58,343,321,223,117,34
19-04,Spain,2678,32.44312562,0.163785437,1532,945,2314,20,14,29,301,155,618,680,523,336,165
19-04,Romania,1323,15.54585153,0.080914165,440,310,721,6,3,1,592,35,180,243,135,96,61
19-04,Norway,1489,48.01192843,0.09106666,871,587,1382,29,3,8,67,134,472,275,204,192,181
19-04,Sweden,2188,17.6344086,0.133817228,1228,883,2007,18,16,22,125,227,563,453,360,263,245
19-04,Poland,2301,9.46717412,0.140728264,926,758,1615,9,7,11,659,124,400,492,330,166,172
19-04,Swiss,2236,27.77142857,0.136752889,1281,891,2068,15,9,11,133,265,456,408,325,364,354
19-04,Portugal,1192,13.09297913,0.072902256,475,606,1052,5,0,2,133,96,187,283,199,152,164
19-04,Austria,1140,6.343283582,0.069721956,636,350,935,9,1,9,186,60,242,224,188,154,118
19-04,Finland,1275,8.326253186,0.077978504,497,404,854,8,2,27,384,85,219,182,178,146,91
19-04,Belgium,1490,13.91437309,0.09112782,841,558,1313,20,5,8,144,138,339,242,255,264,161
19-04,Croatia,578,9.46969697,0.035350255,218,55,255,7,0,1,315,11,49,84,65,44,20
19-04,Greece,798,-6.884480747,0.048805369,428,101,501,15,0,0,282,44,71,167,132,77,38
19-04,Bulgaria,742,26.40545145,0.045380431,218,124,323,4,2,2,411,26,72,96,82,47,19
19-04,Denmark,1387,18.64841745,0.08482838,766,508,1196,16,10,14,151,191,331,206,210,201,135
19-04,Ireland,986,36.37621024,0.060303376,578,329,855,4,0,1,126,54,226,229,171,118,109
19-04,Europe others,4333,24.58309373,0.265004593,1857,1344,3032,54,30,24,1193,184,759,919,591,412,336
19-04,Austrailia,19938,28.63225806,1.219400318,9697,9901,18581,77,67,13,1200,2607,2517,3298,2990,2759,5427
