visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
2904,711,63,5,64,2061,137,346,309,191,98,26
4554,3926,29,18,253,328,600,1121,1061,775,554,259
1432,638,10,3,32,749,67,187,182,158,83,25
803,584,36,3,116,64,97,236,129,136,117,54
1490,1114,35,2,219,120,183,573,230,198,174,78
2326,1571,10,3,95,647,243,558,416,305,131,74
1664,1478,22,0,80,84,205,601,256,227,224,114
1342,1055,6,0,46,235,235,272,202,208,164,59
1218,966,9,2,78,163,132,368,199,151,159,86
1075,546,11,2,145,371,68,279,124,121,98,39
1305,995,17,4,112,177,182,336,239,213,163,76
614,223,11,0,6,374,6,47,57,75,50,15
778,508,36,0,7,227,40,100,168,123,76,79
751,321,4,1,27,398,57,107,65,72,45,14
1045,728,13,10,162,132,75,425,132,170,122,42
932,579,9,3,20,321,66,281,202,134,91,45
4668,2668,38,20,382,1560,401,1170,686,521,272,200
13647,12019,95,42,108,1383,1111,1667,2045,2000,2080,4388
3112,2436,21,10,11,634,271,519,521,406,492,752
609,519,1,6,9,74,104,136,149,94,36,24
1887,634,6,1,11,1235,61,659,322,159,138,71
4864,2081,593,165,841,1184,380,1219,1202,656,410,121
57,36,1,0,8,12,2,16,4,10,13,5
16560,0,0,0,0,16560,1019,1466,1757,3797,4571,3950
541350,432018,3873,447,25545,79467,23689,168939,153165,67744,63315,52249
251119,242475,2362,211,1137,4934,30541,76212,37803,40138,35970,27724
102758,100888,112,14,300,1444,9320,25344,25523,17754,13424,10400
45911,44708,49,7,256,891,1796,11432,9506,7831,8902,5696
2727,2687,2,0,24,14,122,990,804,349,299,163
36252,18539,203,196,121,17193,1170,6381,6349,3638,2341,1547
19309,11858,149,317,279,6706,1240,4915,4081,2432,1606,864
36052,28877,54,411,133,6577,1902,10416,8616,4384,3163,2184
43617,28210,1064,530,5577,8236,4875,11390,10032,5639,4774,2201
12716,4111,3152,146,186,5121,340,2033,3118,1799,806,351
28020,25123,166,5,251,2475,2240,8957,6158,3624,3016,1960
17745,16137,137,13,63,1395,2102,3584,3315,3029,2725,1722
10900,8120,122,315,1155,1188,1308,2297,3417,2361,1119,364
9056,3093,853,1,1484,3625,952,2690,2730,1297,567,282
6534,1832,19,255,93,4335,148,1575,1225,436,217,79
2462,2187,30,6,135,104,254,829,692,354,190,94
4909,2956,17,2,179,1755,434,1437,1142,773,490,338
2802,1561,21,61,37,1122,79,494,625,331,160,64
3629,1794,49,170,32,1584,415,1521,961,285,220,225
2103,351,81,8,22,1641,41,888,695,173,98,21
1880,302,167,102,185,1124,57,716,593,206,110,32
1459,323,310,29,321,476,57,593,463,182,105,22
1837,1779,11,1,3,43,125,456,323,323,268,327
446,281,63,8,42,52,31,86,156,83,57,23
7350,3328,567,315,299,2841,525,2549,1984,964,591,229
90819,70634,421,2736,186,16842,6114,14244,15643,13913,17068,18204
18213,13449,50,39,31,4644,1076,3465,3525,2498,3112,3070
2498,2029,23,17,36,393,124,508,723,424,225,187
3038,2506,3,12,27,490,120,635,750,418,351,309
4588,3756,18,73,77,664,242,1012,1150,713,526,437
30266,21349,175,36,155,8551,2637,6754,6507,4197,2910,1798
13325,11473,156,28,13,1655,561,3180,2852,2073,2269,1638
12670,10802,218,21,89,1540,912,2913,2616,1998,1995,1277
10242,8587,245,32,127,1251,532,2987,2330,1538,1152,887
4513,3550,81,17,26,839,159,760,1010,929,652,308
3485,2816,28,9,18,614,136,715,637,641,561,319
2214,715,80,5,26,1388,76,302,364,174,96,39
3134,2764,27,14,30,299,151,755,858,644,348,196
1179,675,12,5,4,483,42,207,200,136,87,45
1054,962,30,2,20,40,83,263,199,210,163,118
2010,1784,26,5,66,129,147,467,351,400,354,221
2570,1870,14,1,17,668,149,656,543,343,166,120
1923,1795,20,7,11,90,122,504,358,324,338,239
1000,840,11,0,5,144,37,230,259,180,106,73
1369,1186,7,3,7,166,68,386,250,209,206,129
1264,878,8,4,7,367,43,193,193,240,166,78
1542,1300,15,9,20,198,97,461,271,253,235,109
494,277,5,2,3,207,5,65,96,74,39,14
1023,717,29,1,2,274,47,149,226,135,133,87
633,370,3,19,5,236,19,93,114,106,68,13
1244,1101,12,11,8,112,110,255,217,257,226,107
1176,1007,5,4,3,157,31,323,298,210,158,96
4421,3042,48,56,46,1229,178,1016,967,637,335,183
17269,15818,83,51,10,1307,2480,2243,2913,3062,2666,3569
4035,3393,26,9,1,606,547,645,736,567,694,718
526,413,0,9,3,101,44,95,132,95,49,17
1197,743,8,11,7,428,34,371,265,143,132,67
5119,2249,1145,85,297,1343,173,1068,1305,885,528,136
49,33,3,0,5,8,2,7,12,10,7,7
16619,0,0,0,0,16619,289,1322,1743,3211,5033,5021
567695,476460,3967,547,12722,73999,24779,174516,152825,69650,69340,62401
248541,241484,1897,438,556,4166,21039,69133,39807,43944,38912,33177
127944,126421,81,10,135,1297,9945,29979,32220,22929,18315,13589
65544,64439,63,4,76,962,3114,14214,12619,10989,14106,9665
4504,4484,2,0,8,10,154,1430,1139,581,670,529
55394,37353,195,220,55,17571,4612,9893,9583,6846,4924,3176
28494,20527,137,285,84,7461,2104,6648,5455,3663,2767,1609
65878,58290,56,344,59,7129,7701,17641,16211,9230,5657,3620
64820,53659,1226,630,1604,7701,4460,16249,15804,9181,8616,5157
13160,4403,2692,85,84,5896,440,2019,2801,1646,752,322
45354,42624,160,13,49,2508,3914,12792,9694,6361,6126,4213
24719,23070,199,8,37,1405,1996,5083,4862,4263,4011,3206
11221,9834,84,421,271,611,1254,1710,3539,2835,1378,451
8375,3668,968,1,191,3547,380,2234,2785,1489,530,354
5876,1935,18,214,22,3687,94,1083,1004,478,220,94
2429,2237,25,18,55,94,237,661,671,403,264,135
4776,3348,10,10,30,1378,587,1211,1118,720,479,361
2893,1649,11,56,14,1163,73,456,632,421,133,75
3339,1471,64,161,12,1631,204,1606,955,248,178,145
1449,467,82,5,7,888,35,411,457,168,107,28
1715,337,179,197,46,956,41,372,470,252,100,30
1010,382,258,17,64,289,51,238,337,199,87,31
2820,2729,12,5,3,71,204,445,389,412,438,890
501,334,87,21,10,49,24,82,194,105,50,21
6841,3491,626,410,104,2210,393,2120,2018,1033,552,239
101099,82230,421,2240,157,16051,6219,13894,16454,14595,19557,24512
20624,15841,37,33,26,4687,1059,3369,3594,2608,3705,4531
2452,1896,16,13,15,512,131,488,594,295,270,248
2878,2355,5,9,24,485,120,602,707,386,322,276
4669,3413,18,60,28,1150,156,923,1067,642,439,391
33379,25818,166,50,48,7297,3637,6779,7505,5090,3380,1958
15911,14117,150,14,20,1610,793,3367,3277,2396,2828,2429
13322,11460,207,28,158,1469,1125,2338,2834,2273,2289,1396
12546,10681,232,38,201,1394,1319,2912,2488,2118,1533,1278
4951,3781,66,16,45,1043,135,736,1082,1013,695,367
4043,3318,28,8,61,628,232,830,698,695,701,382
2371,795,179,11,4,1382,84,320,390,218,135,38
3140,2777,35,10,49,269,152,634,846,674,404,254
1295,655,5,15,1,619,28,158,267,142,79,16
1218,1108,24,4,9,73,55,232,272,247,246,137
2303,2110,23,5,30,135,253,454,413,465,408,245
2326,1549,14,6,9,748,85,425,563,309,156,94
2137,1973,20,3,10,131,229,395,398,408,357,301
1113,973,3,0,13,124,47,259,279,189,161,92
1461,1181,3,3,21,253,69,248,297,264,265,192
1473,1065,11,2,14,381,105,232,214,258,183,117
1505,1281,17,3,23,181,69,346,304,243,223,199
498,273,2,2,0,221,5,60,91,69,45,20
1014,695,21,2,0,296,24,123,240,173,109,68
655,394,2,3,1,255,14,70,84,98,77,64
1802,1559,12,5,39,187,213,393,257,343,337,174
1394,1198,11,1,4,180,42,420,349,217,169,131
4868,3434,73,32,28,1301,218,971,1006,788,432,282
16251,14247,90,37,13,1864,1575,2309,2859,2789,2582,3365
3728,3111,19,16,0,582,314,668,714,516,695,674
396,234,0,26,0,136,14,56,78,53,46,21
1175,771,9,16,0,379,28,307,255,174,128,74
4927,2162,1050,113,65,1537,148,882,1224,857,456,109
40,25,2,0,0,13,0,4,7,10,6,4
17939,0,0,0,0,17939,229,1214,1666,3292,5467,6071
505369,426849,4020,545,12822,61133,14962,148112,144075,67501,62593,56118
258522,251663,1876,187,813,3983,23199,75891,42231,45536,40711,28476
102241,100595,89,11,225,1321,6867,23690,26577,18511,14527,11058
58600,57442,76,5,208,869,2501,12518,11278,10299,12493,8768
4896,4871,1,0,13,11,136,1457,1369,704,768,462
41739,26966,172,203,59,14339,2470,8292,7594,4754,3310,2030
23760,18189,142,407,109,4913,1737,5505,4939,3552,2528,1322
49998,43160,46,404,94,6294,3333,13551,12452,7063,5044,2920
43190,31444,1334,632,3116,6664,4109,10903,10495,5786,4611,2197
12184,4149,3386,115,100,4434,358,2215,3108,1868,727,272
49282,46613,124,8,70,2467,8438,10922,10514,8045,5645,3517
27546,25865,162,6,88,1425,5672,4139,4785,5586,3538,2501
10519,9020,73,425,408,593,1001,1773,3390,2554,1302,472
7176,3384,709,1,295,2787,363,1956,2418,1233,397,227
5660,1752,15,180,39,3674,111,1048,943,459,213,83
2575,2404,25,12,65,69,237,801,755,382,261,101
3697,2541,8,5,37,1106,332,1005,879,559,362,286
2881,1664,15,56,32,1114,81,431,590,438,203,79
3555,2357,46,334,24,794,414,1162,1100,428,254,197
1070,308,73,1,6,682,22,280,355,120,66,28
1286,270,163,112,66,675,66,319,359,169,75,24
1011,361,224,23,79,324,39,243,358,185,90,21
1427,1369,7,2,3,46,29,161,267,321,209,420
402,279,49,4,26,44,61,80,122,54,48,14
6576,3023,527,369,82,2575,364,2221,1965,945,470,167
82238,65116,349,2519,402,13852,7004,12397,14887,13745,15136,13968
16862,13236,45,30,59,3492,801,2878,3051,2355,3138,3561
1916,1504,16,12,13,371,106,420,476,302,162,150
2408,1835,5,7,84,477,96,571,594,310,237,164
3282,2640,5,40,61,536,147,785,833,495,311,254
26708,19717,199,37,87,6668,2163,5314,5821,4170,2889,1573
11542,9931,123,15,40,1433,412,2183,2293,1946,2143,1805
9819,7750,227,38,391,1413,374,1905,2079,1945,1876,756
8111,6369,225,55,490,972,630,2100,1685,1451,1082,533
4422,3547,80,17,103,675,94,724,985,1104,690,269
3188,2339,26,9,184,630,142,720,499,525,582,219
2146,712,91,3,11,1329,46,288,331,180,114,30
2610,2211,26,14,121,238,91,627,702,569,331,142
1040,607,5,6,4,418,10,130,242,162,81,25
837,656,27,2,29,123,20,164,163,199,167,96
1600,1354,26,7,93,120,73,429,286,316,291,153
2019,1333,10,1,28,647,75,402,490,302,113,42
1172,1037,23,1,40,71,35,289,223,183,260,139
976,853,5,0,15,103,47,204,233,192,141,79
1113,902,7,6,30,168,30,193,216,244,191,112
1206,801,8,1,48,348,19,193,181,203,181,89
1205,941,24,3,76,161,49,317,210,220,212,91
543,294,7,1,5,236,6,74,74,87,52,17
891,609,16,3,0,263,10,121,197,159,96,54
471,275,4,5,3,184,26,73,73,64,42,19
1120,907,11,11,59,132,63,314,150,224,195,101
768,632,4,2,4,126,27,206,163,150,105,61
4053,2799,50,27,58,1119,121,847,865,669,366,243
13346,11750,89,59,36,1412,1590,2478,2250,2236,2008,2245
3365,2765,23,8,5,564,418,738,590,480,495,480
285,207,1,14,3,60,33,47,64,47,34,14
698,440,4,3,1,250,16,166,135,118,82,34
4043,1873,903,112,106,1049,178,830,972,671,407,130
31,23,2,0,0,6,1,6,4,6,8,3
15233,0,0,0,0,15233,286,1193,1593,2978,4458,4725
508877,433577,3951,682,13284,57383,16888,145040,155791,64790,56601,56174
255356,248793,1738,166,769,3890,25870,75859,40795,45699,40105,24821
90379,88881,79,13,267,1139,7666,22938,25056,17000,10105,6832
71751,70638,49,3,185,876,13151,15659,13034,13711,9852,5614
8342,8316,2,0,9,15,1967,1791,2070,1231,748,534
43281,28484,117,106,69,14505,5124,7024,7031,5705,3374,1837
29716,23216,126,216,117,6041,6299,5493,4864,4557,2561,1391
55850,49231,53,224,119,6223,6044,14523,13405,8512,5058,3199
30721,18158,1136,295,4005,7127,3989,8399,6785,3316,2070,1021
10208,3697,2183,88,100,4140,299,1637,2393,1471,740,302
57764,55329,119,3,89,2224,16179,9050,9494,11490,6354,3237
42216,40707,112,13,76,1308,12032,7147,5434,8774,5054,2581
10042,8531,65,299,535,612,1667,1540,2756,2285,1192,571
5461,2341,532,7,252,2329,288,1461,1669,996,376,197
6900,1964,8,40,70,4818,128,1496,1273,424,185,57
2459,2293,34,17,43,72,516,605,639,366,217,85
3388,2415,8,2,57,906,459,844,683,558,314,220
2505,1322,13,37,26,1107,40,367,515,329,165,33
3822,1796,37,73,36,1880,442,1817,979,257,165,112
1313,211,47,2,7,1046,14,482,451,143,33,16
1597,289,148,94,52,1014,45,478,483,209,100,28
1159,404,166,20,81,488,39,276,405,208,117,52
839,788,9,2,5,35,44,108,162,196,137,189
253,114,69,5,20,45,7,37,89,44,35,21
6468,3273,390,142,211,2452,740,2171,1739,783,413,205
77387,58743,365,3436,355,14488,10421,15399,13676,11967,12336,8974
15292,11377,38,30,49,3798,1670,3255,2910,2182,2367,1911
1933,1561,13,8,22,329,234,503,437,294,131,68
2382,1852,6,1,62,461,224,652,458,257,236,123
2490,1969,9,28,49,435,247,644,627,326,206,109
26570,18951,172,22,107,7318,2625,4401,5775,4011,2773,1517
8735,7356,103,16,47,1213,758,1713,1825,1563,1365,919
7304,5714,139,21,265,1165,532,1570,1503,1131,1303,447
6752,5202,203,34,426,887,580,1898,1359,1126,885,354
3084,2299,52,9,39,685,155,479,615,642,408,183
2459,1802,23,8,100,526,210,564,328,380,376,154
2180,600,60,3,8,1509,56,277,234,172,108,43
1733,1425,12,17,68,211,116,412,449,310,217,89
774,349,8,1,3,413,18,70,135,74,61,11
663,557,22,1,30,53,61,174,116,126,114,56
1290,1105,18,9,62,96,105,370,236,233,210,89
1407,789,12,0,21,585,67,244,270,184,66,39
1014,896,14,4,18,82,110,284,180,151,175,72
1003,901,2,0,13,87,120,212,215,201,112,71
781,611,2,2,26,140,33,205,165,123,108,36
1065,697,7,0,28,333,66,231,162,127,114,41
754,570,11,3,29,141,44,185,147,140,120,36
381,181,3,1,1,195,6,34,58,45,29,16
754,476,18,0,1,259,12,91,157,122,82,51
442,173,1,3,4,261,6,40,35,57,34,15
782,583,11,5,25,158,66,190,109,155,151,48
645,487,7,3,2,146,43,113,160,142,106,44
2941,1802,34,13,51,1041,147,599,540,354,227,123
19289,17818,67,25,42,1337,4767,4100,2985,3432,2413,1277
4355,3595,14,10,3,733,850,1004,750,575,581,337
252,154,2,4,0,92,14,46,33,31,30,14
922,665,3,0,3,251,60,305,200,88,119,46
3078,1273,644,66,93,1002,100,687,758,492,235,90
47,36,1,0,0,10,3,6,8,7,8,5
5281,0,0,0,0,5281,88,370,554,1010,1589,1670
481681,393336,2813,99,10433,75000,43778,125168,147332,60428,47771,44915
203969,194840,2804,141,1035,5149,14045,63536,35205,35559,32903,20294
110354,108623,95,20,285,1331,21543,21735,21010,24151,13315,7802
66962,65837,51,8,171,895,11733,14075,10513,13418,10302,6185
5347,5312,4,0,14,17,1095,1242,1182,858,529,441
30702,15002,155,169,211,15165,1423,4597,6498,3627,2042,1042
19443,14336,98,46,231,4732,2430,4406,3971,3003,1811,753
38466,31232,44,110,126,6954,2957,8331,9914,5976,3527,2386
30232,18058,747,54,3122,8251,4366,7083,6261,3730,1955,954
9249,2391,2094,56,166,4542,274,1309,2303,1244,458,147
27549,24541,101,1,139,2767,4022,6942,5627,3733,3177,1715
10738,9157,80,7,54,1440,773,2202,2279,1820,1454,919
12323,10081,83,359,840,960,1487,2045,3962,2899,1373,532
6135,2025,474,7,625,3004,171,1733,2050,1058,413,226
5654,1273,9,47,98,4227,20,1158,1264,397,121,15
2158,1812,51,5,111,179,426,583,534,299,176,98
4325,2815,21,5,130,1354,451,1208,986,699,418,282
2208,952,20,8,33,1195,68,303,334,248,98,33
4257,2302,35,151,53,1716,411,1485,1360,389,251,195
1377,119,26,2,27,1203,11,398,566,158,12,7
1299,189,110,19,95,886,63,344,488,148,34,13
1014,229,166,23,181,415,54,298,374,141,80,21
803,723,13,2,5,60,59,109,154,194,111,160
176,57,44,1,20,54,6,22,69,35,18,6
4808,1566,352,80,290,2520,219,1702,1552,562,230,101
67255,43866,495,3712,286,18896,6319,11594,12089,9910,11312,9657
13809,8793,52,33,41,4890,1175,2289,2745,2010,2280,1879
1801,1310,15,13,35,428,210,453,396,245,121,67
2113,1478,7,15,65,548,142,512,449,241,175,92
2514,1890,11,45,116,452,215,706,681,302,199,95
28891,20746,192,42,139,7772,3211,4978,6418,4629,3010,1725
9117,6811,186,22,72,2026,710,1865,1906,1469,1467,1028
6617,4648,239,34,205,1491,425,1162,1301,1071,1189,508
5982,3951,303,53,392,1283,472,1703,1160,974,722,314
2880,2006,138,26,55,655,138,412,615,615,431,184
2556,1560,30,9,69,888,123,441,367,339,346,183
1955,493,78,8,33,1343,30,260,253,135,78,36
1560,1121,42,26,65,306,100,357,395,335,138,78
856,372,17,7,10,450,10,84,152,88,73,21
543,437,29,6,23,48,23,115,116,84,119,69
847,696,33,5,12,101,62,182,199,155,136,83
1558,734,18,4,23,779,45,183,275,199,84,41
762,614,25,4,20,99,48,216,136,107,134,83
720,614,5,0,10,91,70,168,129,141,79,64
690,457,13,3,15,202,29,117,149,96,104,59
885,465,11,1,20,388,35,123,89,120,102,41
722,471,27,3,23,198,52,168,123,102,103,52
467,223,6,3,2,233,22,37,60,67,46,20
623,379,37,8,0,199,11,60,130,124,71,56
351,132,4,2,13,200,4,47,25,39,31,17
665,484,19,18,15,129,39,132,109,131,122,53
715,471,10,3,6,225,20,176,203,119,86,42
3219,1925,19,14,82,1179,198,548,578,405,290,158
14039,12320,86,19,26,1588,2707,3496,2006,2318,1943,1118
3553,2638,10,15,7,883,572,698,611,524,470,288
163,88,0,4,1,70,6,30,30,16,18,3
1272,509,10,3,7,743,41,467,386,108,75,53
2926,944,492,68,209,1213,97,535,721,413,182,58
61,43,0,0,1,17,2,5,12,10,10,6
8792,0,0,0,0,8792,162,598,885,1640,2740,2767
104086,49520,715,11,20753,33087,2582,33029,27649,17366,13778,6325
211199,205007,1162,64,1536,3430,15024,85449,29946,29557,30572,18573
53042,51881,52,11,393,705,9839,13044,10732,11187,5148,2631
20966,20369,24,2,284,287,1476,6086,4676,3231,3171,2118
503,476,0,0,22,5,44,210,125,52,36,34
20332,12730,69,89,177,7267,771,3503,4664,2892,1646,833
15800,12155,47,80,374,3144,1166,2855,4526,3021,1426,633
31777,25382,32,200,185,5978,1460,7254,8932,4922,2811,1798
30313,9197,626,49,9647,10794,991,13249,7540,2257,1786,664
5839,2061,972,19,284,2503,124,1085,1628,812,307,113
18541,15459,68,8,430,2576,1969,5567,3909,2078,1846,926
5909,4592,49,3,132,1133,260,1349,1419,853,639,326
6399,5210,42,264,427,456,690,975,2011,1467,817,405
6888,2074,700,0,1141,2973,190,2149,2162,1194,452,264
4319,1271,7,19,186,2836,33,1156,1230,377,133,31
789,610,35,3,78,63,67,190,244,144,67,41
3204,1773,13,2,171,1245,225,954,751,482,291,202
1784,520,11,8,98,1147,13,223,198,160,69,17
2568,754,22,104,124,1564,89,1114,914,212,95,64
1088,146,26,0,37,879,8,307,492,131,20,9
996,115,85,25,149,622,34,340,427,116,29,8
1037,221,150,22,236,408,52,291,399,146,76,22
352,329,4,1,8,10,5,68,63,59,54,103
160,35,25,1,56,43,4,50,57,25,11,2
4558,1409,446,63,316,2324,183,1529,1546,525,229,118
42439,26407,219,2200,848,12765,2775,7354,7713,5894,6807,6360
9046,5834,16,22,109,3065,515,1673,1781,1171,1426,1240
1188,769,6,3,71,339,57,370,222,143,67,54
1543,878,1,4,135,525,57,381,277,127,122,76
2601,1893,4,24,217,463,159,800,559,275,247,186
22157,15487,155,10,288,6217,1428,4588,5040,3314,2336,1303
5566,3936,68,15,123,1424,161,1288,1105,753,797,855
5599,3725,133,19,491,1231,226,1416,982,746,843,388
5120,3355,123,27,907,708,302,1951,846,638,595,278
1718,1045,38,4,77,554,27,309,273,254,243,116
2067,1076,16,2,158,815,64,413,228,212,252,154
1618,653,80,3,52,830,41,251,306,200,110,52
1068,750,4,8,111,195,23,327,235,180,104,65
471,228,5,1,18,219,1,52,104,52,44,6
441,354,10,0,54,23,27,146,72,52,78,52
650,491,14,2,83,60,31,225,107,102,101,52
1206,559,12,0,52,583,33,202,178,125,80,35
566,432,11,2,62,59,17,207,82,79,78,58
299,206,3,0,18,72,9,77,65,40,32,19
668,497,4,2,39,126,11,192,118,93,74,76
780,354,6,0,97,323,25,190,72,75,72,36
547,343,8,3,35,158,22,131,86,71,82,39
286,162,4,0,9,111,4,37,58,47,25,16
663,463,14,0,4,182,2,86,165,109,73,52
218,126,0,2,6,84,1,20,40,40,27,12
640,500,7,5,54,74,45,215,71,102,113,56
465,265,7,0,12,181,6,113,126,75,43,29
2432,1372,26,12,161,861,106,497,440,279,180,144
6857,5689,44,15,82,1027,469,2280,1253,997,878,598
1912,1288,5,4,5,610,110,453,349,235,273,175
123,76,4,3,5,35,4,21,28,15,14,14
1004,328,7,1,6,662,13,403,282,85,59,45
3156,1113,519,58,431,1035,49,595,665,494,342,166
40,26,2,0,1,11,0,4,11,3,6,10
7609,0,0,0,0,7609,151,678,781,1330,2328,2341
16595,5040,115,2,7388,4050,440,7903,3713,1909,1399,670
8347,6478,282,16,868,703,578,3843,1169,1035,949,448
585,274,6,1,125,179,14,232,128,60,31,12
262,173,4,0,51,34,10,111,65,37,19,3
16,11,1,0,4,0,2,9,3,1,1,0
4539,2048,13,33,67,2378,58,671,1028,583,280,77
3760,1030,6,7,373,2344,63,1069,770,362,102,21
2371,1059,21,11,124,1156,76,714,650,203,51,21
4048,941,15,5,2200,887,426,2130,703,291,307,78
1587,555,42,5,92,893,23,297,370,184,57,12
890,289,4,1,102,494,17,244,115,36,34,11
219,159,5,6,13,36,15,74,47,35,23,9
674,191,5,9,357,112,99,315,154,65,26,12
782,89,19,0,260,414,43,295,239,123,43,21
2519,741,0,0,109,1669,4,733,749,248,56,2
77,26,5,1,19,26,0,19,22,8,2,1
567,144,4,1,95,323,37,186,114,83,30,19
242,114,2,0,21,105,7,63,43,21,14,5
1183,45,10,6,35,1087,6,795,333,28,12,9
441,20,1,0,19,401,0,145,224,44,2,3
566,77,8,1,133,347,11,274,209,26,9,3
474,70,44,5,138,217,24,157,169,59,24,10
68,61,2,0,3,2,0,58,3,1,2,4
34,9,1,1,12,11,1,12,12,2,3,1
1561,75,79,14,500,893,80,817,449,96,32,10
10570,3995,47,598,79,5851,874,1559,1529,1085,1271,1220
2405,1022,3,9,21,1350,169,438,398,249,325,260
291,107,3,4,18,159,11,77,43,17,9,4
388,150,1,2,26,209,6,76,50,25,20,10
456,239,3,8,46,160,20,130,111,37,16,17
5300,2189,42,4,115,2950,267,682,869,536,376,192
1173,550,26,9,44,544,48,296,170,105,96,135
1195,611,41,8,121,414,72,394,191,93,97,56
1217,528,62,19,184,424,153,461,199,98,59,42
248,73,13,2,18,142,15,46,21,24,18,13
597,156,5,0,29,407,15,97,40,32,26,18
630,214,30,2,7,377,11,126,100,65,37,14
255,127,6,5,26,91,7,105,42,21,8,9
173,86,3,2,6,76,2,26,41,18,12,4
97,53,4,1,19,20,7,39,17,5,10,8
188,115,4,1,38,30,10,99,33,10,20,5
322,134,12,0,12,164,3,60,58,25,21,4
105,60,4,0,14,27,6,50,12,4,7,8
61,23,1,0,1,36,2,12,8,8,3,2
96,35,3,0,5,53,2,20,14,1,10,4
144,30,0,1,14,99,5,28,16,2,1,2
164,62,6,2,8,86,9,42,16,10,13,5
84,65,2,0,2,15,0,15,23,13,14,4
199,129,4,2,5,59,5,28,52,25,19,19
80,40,0,0,8,32,0,21,9,10,6,2
114,91,0,2,10,11,7,73,9,6,6,6
106,29,5,0,1,71,2,25,32,7,6,4
538,257,1,3,63,214,15,149,78,35,45,35
760,363,15,3,12,367,49,134,159,126,100,75
275,90,3,4,4,174,13,43,52,31,45,17
50,16,0,2,0,32,3,2,6,5,3,1
237,29,0,0,0,208,1,96,59,13,11,8
946,103,134,6,145,558,24,152,201,106,40,6
11,7,0,0,0,4,0,0,1,2,2,3
1615,0,0,0,0,1615,36,162,122,265,477,553
3935,522,71,0,1112,2230,73,1165,978,761,650,232
360,58,53,2,49,198,60,87,49,71,30,23
155,48,8,0,12,87,6,38,33,14,10,4
35,17,2,0,8,8,1,19,6,2,3,1
1,1,0,0,0,0,0,1,0,0,0,0
1130,438,1,5,6,680,8,154,188,131,41,6
1864,572,2,5,83,1202,12,434,388,173,29,14
299,107,1,7,5,179,3,101,95,39,6,3
6597,420,5,7,5334,831,909,4769,545,139,122,48
210,46,7,4,2,151,7,10,39,18,9,2
152,29,1,0,61,61,7,73,16,10,3,0
48,17,5,3,3,20,1,7,10,6,5,5
616,60,2,5,359,190,87,336,156,30,6,1
7,1,0,0,1,5,2,3,1,0,0,1
763,41,1,0,33,688,3,225,198,40,4,0
25,0,5,0,0,20,7,0,6,2,1,0
15,4,0,0,4,7,2,7,0,2,0,2
26,2,1,0,0,23,2,1,2,3,0,0
547,17,4,0,3,523,3,344,177,17,5,1
183,29,0,0,2,152,1,56,95,22,3,0
11,2,0,0,0,9,0,0,0,1,1,0
67,6,4,0,11,46,3,14,25,10,1,0
21,1,2,2,0,16,3,2,3,0,1,1
13,0,2,0,6,5,0,0,11,1,0,0
36,2,5,0,7,22,3,11,6,1,2,0
6417,1793,32,227,7,4358,486,614,517,393,486,560
422,135,3,0,0,284,18,120,67,42,48,51
52,8,2,0,3,39,4,7,9,5,1,0
55,12,0,3,1,39,4,8,9,3,3,2
83,11,1,1,2,68,1,9,6,1,0,2
1223,128,4,1,5,1085,7,28,43,34,34,14
298,136,5,0,0,157,26,48,43,30,28,10
1033,30,9,2,4,988,8,16,15,11,12,4
280,100,8,3,7,162,8,46,44,24,9,2
55,11,5,1,2,36,1,5,7,5,2,1
385,9,3,2,1,370,0,3,8,2,6,4
116,60,0,4,0,52,3,20,20,12,11,1
31,11,1,0,1,18,2,4,4,5,2,2
82,40,0,0,0,42,0,8,10,7,14,1
35,6,5,0,0,24,5,6,10,4,1,1
35,7,3,2,0,23,5,5,5,3,1,3
83,14,1,0,1,67,0,7,4,7,1,1
33,18,1,0,2,12,4,10,2,1,5,2
26,1,1,0,0,24,0,3,4,4,2,0
68,1,0,0,1,66,0,1,1,0,0,0
35,5,1,0,0,29,0,2,3,0,1,0
57,7,3,0,0,47,1,6,3,2,1,1
22,14,0,0,0,8,0,4,6,4,0,0
76,30,6,0,0,40,0,8,17,11,3,6
43,24,0,0,0,19,0,4,4,9,5,2
27,5,1,0,0,21,0,3,5,2,2,0
22,5,0,1,0,16,1,6,2,2,0,0
70,14,1,0,1,54,0,13,3,2,3,0
124,28,0,4,0,92,8,19,14,20,18,6
98,19,0,5,0,74,2,15,9,12,13,13
13,0,0,0,0,13,0,0,0,0,0,0
22,2,0,0,0,20,0,1,4,0,0,0
177,11,5,0,11,150,3,9,16,6,2,0
3,0,0,0,0,3,0,0,0,0,0,0
698,0,0,0,0,698,13,73,72,102,176,262
